taxid,rank,date,shield_no
933588,POLICE OFFICER,1/20/2004,2019
933588,DETECTIVE,2/27/2009,2442
959433,POLICE OFFICER,10/7/2015,19427
941300,POLICE OFFICER,7/10/2006,44
972490,POLICE OFFICER,10/12/2021,5985
932231,POLICE OFFICER,7/1/2003,318
948173,POLICE OFFICER,7/14/2009,25577
948173,DETECTIVE,10/26/2018,497
948173,SERGEANT,10/30/2019,5007
951475,POLICE OFFICER,1/9/2012,15589
951475,SERGEANT,2/9/2022,1011
972491,POLICE OFFICER,10/12/2021,335
947962,POLICE OFFICER,1/14/2009,9993
947962,SERGEANT,6/30/2017,826
971298,POLICE OFFICER,4/28/2021,10549
965643,POLICE OFFICER,4/25/2018,1677
941301,POLICE OFFICER,7/10/2006,578
968910,POLICE OFFICER,1/6/2020,27929
954452,POLICE OFFICER,7/9/2013,4825
957311,POLICE OFFICER,1/7/2015,15836
944301,POLICE OFFICER,7/9/2007,19572
944301,SERGEANT,1/28/2016,2893
944301,LIEUTENANT,6/28/2019,
960115,POLICE OFFICER,1/6/2016,5967
951476,POLICE OFFICER,1/9/2012,15963
951476,SERGEANT,2/9/2022,1046
956362,POLICE OFFICER,7/9/2014,15447
932232,POLICE OFFICER,7/1/2003,27235
932232,SERGEANT,4/24/2009,118
932232,LIEUTENANT,6/30/2017,
932232,CAPTAIN,7/30/2021,
955701,POLICE OFFICER,1/8/2014,6138
949948,POLICE OFFICER,7/6/2011,17282
949948,DETECTIVE,10/26/2018,3417
949948,SERGEANT,9/3/2021,1171
971775,POLICE OFFICER,7/7/2021,16420
948580,POLICE OFFICER,7/6/2010,7927
973191,POLICE OFFICER,12/29/2021,20002
961589,POLICE OFFICER,7/13/2016,14556
961589,DETECTIVE,12/21/2021,5641
966920,POLICE OFFICER,1/3/2019,28181
956363,POLICE OFFICER,7/9/2014,12960
934362,POLICE OFFICER,7/1/2004,23787
960116,POLICE OFFICER,1/6/2016,2999
965915,POLICE OFFICER,7/2/2018,603
959434,POLICE OFFICER,10/7/2015,147
943994,POLICE OFFICER,1/10/2007,27045
943994,SERGEANT,8/30/2012,864
943994,LIEUTENANT,6/30/2017,
943994,CAPTAIN,4/30/2020,
963364,POLICE OFFICER,4/12/2017,4900
952379,POLICE OFFICER,7/11/2012,31719
952379,DETECTIVE,4/30/2020,4220
952379,SERGEANT,11/24/2020,5642
939839,POLICE OFFICER,1/9/2006,1319
939839,SERGEANT,3/30/2012,319
939839,LIEUTENANT,6/29/2018,
955702,POLICE OFFICER,1/8/2014,12243
955702,DETECTIVE,10/30/2019,2562
963828,POLICE OFFICER,7/5/2017,15763
972492,POLICE OFFICER,10/12/2021,6689
966921,POLICE OFFICER,1/3/2019,28609
953614,POLICE OFFICER,1/9/2013,752
953614,DETECTIVE,12/21/2021,5991
971776,POLICE OFFICER,7/7/2021,8972
941303,POLICE OFFICER,7/10/2006,25172
941303,DETECTIVE,4/1/2022,3401
973192,POLICE OFFICER,12/29/2021,27086
948581,POLICE OFFICER,7/6/2010,11252
970959,POLICE OFFICER,2/24/2021,21880
942890,POLICE OFFICER,1/10/2007,6140
942890,DETECTIVE,8/3/2012,1008
944259,POLICE OFFICER,7/9/2007,17784
944259,DETECTIVE,11/26/2019,2902
924857,POLICE OFFICER,3/1/2000,24246
924857,DETECTIVE,6/26/2015,4099
955703,POLICE OFFICER,1/8/2014,12246
961590,POLICE OFFICER,7/13/2016,24246
962910,POLICE OFFICER,1/4/2017,23781
942923,POLICE OFFICER,1/10/2007,7692
942924,POLICE OFFICER,1/10/2007,4649
942924,SERGEANT,3/28/2013,3383
942924,LIEUTENANT,8/30/2016,
942924,CAPTAIN,12/21/2018,
968207,POLICE OFFICER,10/7/2019,5450
968207,POLICE OFFICER,12/6/2019,5464
